"Nome_UC","Localidade","Municipio","Estado","Freq"
NA,"21º43'09""S","Ibitinga","São Paulo",13
NA,"17 Km de Ibitinga em direção a Iacanga (SP - 321). Fazenda Santo Antônio/Ruy Barbosa. Mata mesófila semidecídua com abundância de Cariniana, Cedrela e Hymenaea. 21º43'09""S, 48º58'00""W. 460 m.s.m","Ibitinga","São Paulo",13
NA,"estrada próximo à barragem do rio Tietê 21°45'13'S 48°59'55'W","Ibitinga","São Paulo",12
NA,"Carambatiba. Fazenda Santo Antônio/Ruy Barbosa","Ibitinga","São Paulo",9
NA,"Carambatiba","Ibitinga","São Paulo",9
NA,"17 Km de Ibitinga em direção a Iacanga (SP - 321). Fazenda Santo Antônio/Ruy Barbosa. Mata mesófila semidecídua com abundância de Cariniana, Cedrela e Hymenaea","Ibitinga","São Paulo",8
NA,"17 km de Ibitinga em direção a Iacanga (SP-321)","Ibitinga","São Paulo",7
NA,"subparcela 1","Ibitinga","São Paulo",6
NA,"rio Jacaré","Ibitinga","São Paulo",6
NA,"indivíduo 2","Ibitinga","São Paulo",6
NA,"Fazenda Jardim","Ibitinga","São Paulo",6
NA,"Conglomerado: SP_253","Ibitinga","São Paulo",6
NA,"conglomerado","Ibitinga","São Paulo",6
NA,"17 km de Ibitinga em direçao a Iacanga (SP -321). Fazenda Santo Antônio/Ruy Barbosa","Ibitinga","São Paulo",6
NA,"17 km de Ibitinga em direçao a Iacanga (SP -321)","Ibitinga","São Paulo",6
NA,"Fazenda Santo Antônio/ Ruy Barbosa","Ibitinga","São Paulo",5
NA,"Cedrela e Hymenaca","Ibitinga","São Paulo",4
NA,"estrada entre a balsa e a praia da ilha comprida","Cananéia","São Paulo",177
NA,"along shore of the bay outlet","Cananéia","São Paulo",52
NA,"south tip of the island of ilha comprida","Cananéia","São Paulo",48
NA,"Ilha Comprida. Estrada entre a balsa e a Praia da Ilha Comprida","Cananéia","São Paulo",46
NA,"arredores","Ilha Comprida","São Paulo",29
NA,"Área de mata de restinga com transição para dunas","Cananéia","São Paulo",25
NA,"4 km SSE of city of Cananéia","Cananéia","São Paulo",22
NA,"Ilha Comprida, Estrada entre a balsa e a Praia da Ilha Comprida","Cananéia","São Paulo",21
NA,"Mun","Cananéia","São Paulo",18
NA,"ilha comprida estrada entre a balsa e a praia da ilha comprida","Cananéia","São Paulo",18
NA,"Cananeia","Cananéia","São Paulo",17
NA,"parque estadual da ilha do cardoso","Cananéia","São Paulo",15
NA,"I. Comprida","Ilha Comprida","São Paulo",14
NA,"estrada entre a balsa e a praia da ilha comprida","Ilha Comprida","São Paulo",14
NA,"estrada de acesso a praia","Ilha Comprida","São Paulo",14
NA,"Comprida","Ilha Comprida","São Paulo",14
NA,"""Barra de Cananéia""","Cananéia","São Paulo",14
NA,"bairro sorocabucu","Ibiúna","São Paulo",447
NA,"proximo ao distrito de caucaia do alto","Ibiúna","São Paulo",379
NA,"próximo ao distrito de Caucaia do Alto (Cotia","Ibiúna","São Paulo",358
NA,"bairro sorocabuçu, ca. 8 km da SP-250 na altura do km 63 a esquerda","Ibiúna","São Paulo",237
NA,"8 km da SP-250 na altura do km 63 a esquerda","Ibiúna","São Paulo",237
NA,"bairro dos gabriel","Ibiúna","São Paulo",102
NA,"parque estadualjurupara","Ibiúna","São Paulo",100
NA,"Bairro Sorocabuçu, 8km da estrada SP 250 no km 63","Ibiúna","São Paulo",98
NA,"8km da estrada SP 250 no km 63","Ibiúna","São Paulo",98
NA,"Jurupará","Ibiúna","São Paulo",82
NA,"P.E.Jurupará","Ibiúna","São Paulo",81
NA,"Piedade","Ibiúna","São Paulo",41
NA,"km 86 á esquerda da SP 125 em direção a São Paulo - Piedade","Ibiúna","São Paulo",41
NA,"km 86 á esquerda da SP 125 em direção a São Paulo","Ibiúna","São Paulo",41
NA,"mais ou menos 8km da estrada SP 250 no km 63","Ibiúna","São Paulo",39
