"country","stateProvince","municipality","country.new","stateProvince.new","municipality.new","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"Brazil","Amazonas","Beruri","brazil","amazonas","beruri","municipality","brazil_NA_beruri","brazil_amazonas_beruri",-4.603478122,-61.78745129,"county"
"Brazil","Amazonas","Boa Vista do Ramos","brazil","amazonas","boa vista do ramos","municipality","brazil_NA_boa vista ramos","brazil_amazonas_boa vista ramos",-2.986854,-57.563472,"county"
"Brazil","Amazonas","Boca do Acre","brazil","amazonas","boca do acre","municipality","brazil_NA_boca acre","brazil_amazonas_boca acre",-8.760441724,-68.08975685,"county"
"Brazil","Amazonas","Borba","brazil","amazonas","borba","municipality","brazil_NA_borba","brazil_amazonas_borba",-4.956915355,-59.53441571,"county"
"Brazil","Amazonas","Caapiranga","brazil","amazonas","caapiranga","municipality","brazil_NA_caapiranga","brazil_amazonas_caapiranga",-3.081994093,-61.87758613,"county"
"Brazil","Amazonas","Canutama","brazil","amazonas","canutama","municipality","brazil_NA_canutama","brazil_amazonas_canutama",-7.40327598,-64.09662553,"county"
"Brazil","Amazonas","Carauari","brazil","amazonas","carauari","municipality","brazil_NA_carauari","brazil_amazonas_carauari",-5.118801269,-67.33761862,"county"
"Brazil","Amazonas","Careiro","brazil","amazonas","careiro","municipality","brazil_NA_careiro","brazil_amazonas_careiro",-3.77063578,-60.18309342,"county"
"Brazil","Amazonas","Careiro da Várzea","brazil","amazonas","careiro da varzea","municipality","brazil_NA_careiro varzea","brazil_amazonas_careiro varzea",-3.286234159,-59.59952002,"county"
"Brazil","Amazonas","Coari","brazil","amazonas","coari","municipality","brazil_NA_coari","brazil_amazonas_coari",-4.437225836,-64.12471085,"county"
"Brazil","Amazonas","Codajás","brazil","amazonas","codajas","municipality","brazil_NA_codajas","brazil_amazonas_codajas",-3.28904067,-62.97277007,"county"
"Brazil","Amazonas","Eirunepé","brazil","amazonas","eirunepe","municipality","brazil_NA_eirunepe","brazil_amazonas_eirunepe",-7.063653186,-70.2792599,"county"
"Brazil","Amazonas","Envira","brazil","amazonas","envira","municipality","brazil_NA_envira","brazil_amazonas_envira",-7.766315931,-70.20478827,"county"
"Brazil","Amazonas","Fonte Boa","brazil","amazonas","fonte boa","municipality","brazil_NA_fonte boa","brazil_amazonas_fonte boa",-2.492245115,-66.35861849,"county"
"Brazil","Amazonas","Guajará","brazil","amazonas","guajara","municipality","brazil_NA_guajara","brazil_amazonas_guajara",-7.271893117,-72.83217012,"county"
"Brazil","Amazonas","Humaitá","brazil","amazonas","humaita","municipality","brazil_NA_humaita","brazil_amazonas_humaita",-7.362910358,-62.48538859,"county"
"Brazil","Amazonas","Ipixuna","brazil","amazonas","ipixuna","municipality","brazil_NA_ipixuna","brazil_amazonas_ipixuna",-7.242718105,-71.45848949,"county"
"Brazil","Amazonas","Iranduba","brazil","amazonas","iranduba","municipality","brazil_NA_iranduba","brazil_amazonas_iranduba",-3.095160768,-60.48070739,"county"
"Brazil","Amazonas","Itacoatiara","brazil","amazonas","itacoatiara","municipality","brazil_NA_itacoatiara","brazil_amazonas_itacoatiara",-3.174668894,-58.77722631,"county"
"Brazil","Amazonas","Itamarati","brazil","amazonas","itamarati","municipality","brazil_NA_itamarati","brazil_amazonas_itamarati",-6.682868821,-68.1144199,"county"
"Brazil","Amazonas","Itapiranga","brazil","amazonas","itapiranga","municipality","brazil_NA_itapiranga","brazil_amazonas_itapiranga",-2.498726981,-58.61950853,"county"
"Brazil","Amazonas","Japurá","brazil","amazonas","japura","municipality","brazil_NA_japura","brazil_amazonas_japura",-1.700811436,-68.31415784,"county"
"Brazil","Amazonas","Juruá","brazil","amazonas","jurua","municipality","brazil_NA_jurua","brazil_amazonas_jurua",-3.524632479,-66.30707191,"county"
"Brazil","Amazonas","Jutaí","brazil","amazonas","jutai","municipality","brazil_NA_jutai","brazil_amazonas_jutai",-4.713082043,-68.40430631,"county"
"Brazil","Amazonas","Lábrea","brazil","amazonas","labrea","municipality","brazil_NA_labrea","brazil_amazonas_labrea",-8.375705419,-65.81228323,"county"
"Brazil","Amazonas","Manacapuru","brazil","amazonas","manacapuru","municipality","brazil_NA_manacapuru","brazil_amazonas_manacapuru",-3.291577018,-60.95829918,"county"
"Brazil","Amazonas","Manaquiri","brazil","amazonas","manaquiri","municipality","brazil_NA_manaquiri","brazil_amazonas_manaquiri",-3.779396087,-60.69735401,"county"
"Brazil","Amazonas","Manaus","brazil","amazonas","manaus","municipality","brazil_NA_manaus","brazil_amazonas_manaus",-2.625919383,-60.25962801,"county"
"Brazil","Amazonas","Manicoré","brazil","amazonas","manicore","municipality","brazil_NA_manicore","brazil_amazonas_manicore",-6.459809609,-61.44652275,"county"
"Brazil","Amazonas","Maraã","brazil","amazonas","maraa","municipality","brazil_NA_maraa","brazil_amazonas_maraa",-2.428444661,-65.03827635,"county"
"Brazil","Amazonas","Maués","brazil","amazonas","maues","municipality","brazil_NA_maues","brazil_amazonas_maues",-4.984584196,-58.06099983,"county"
