"country","stateProvince","municipality","locality","latitude","longitude","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"Brazil","São Paulo","Ribeirão Preto","ESTAÇÃO ECOLÓGICA DE RIBEIRÃO PRETO","-21.219668165985","-47.8477567629705","brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto",NA,"locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county"
"Brazil","São Paulo","Piracaia","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LAFIGUEIRA - NATURARTE","-23.0302656730174","-46.40591196326","brazil","sao paulo","piracaia","reserva particular do patrimonio natural lafigueira",NA,"locality","brazil_sao paulo_piracaia","brazil_sao paulo_piracaia",-23.0467249,-46.30289819,"county"
"Brazil","São Paulo","Monteiro Lobato","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DO CANTONEIRO","-23.0024636231013","-45.8590343999305","brazil","sao paulo","monteiro lobato","reserva particular do patrimonio natural sitio do cantoneiro",NA,"locality","brazil_sao paulo_monteiro lobato","brazil_sao paulo_monteiro lobato",-22.93650882,-45.80441283,"county"
"Brazil","São Paulo","Santa Rita do Passa Quatro","PARQUE ESTADUAL DE VASSUNUNGA","-21.6655127876946","-47.6215615736157","brazil","sao paulo","santa rita do passa quatro","parque estadual de vassununga",NA,"locality","brazil_sao paulo_santa rita passa quatro_parque estadual vassununga","brazil_sao paulo_santa rita passa quatro_pe vassununga",-21.639694,-47.613521,"locality"
"Brazil","São Paulo","Iguape","ESTAÇÃO ECOLÓGICA CHAÚAS","-24.7484340221849","-47.6734556043085","brazil","sao paulo","iguape","estacao ecologica chauas",NA,"locality","brazil_sao paulo_iguape","brazil_sao paulo_iguape",-24.54595667,-47.47318778,"county"
"Brazil","São Paulo","Bananal","ESTAÇÃO ECOLÓGICA BANANAL","-22.7871478192676","-44.3508166510465","brazil","sao paulo","bananal","estacao ecologica bananal",NA,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality"
"Brazil","São Paulo","Porto Ferreira","PARQUE ESTADUAL DE PORTO FERREIRA","-21.8509836455625","-47.4302155858697","brazil","sao paulo","porto ferreira","parque estadual de porto ferreira",NA,"locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality"
"Brazil","São Paulo","Pedregulho","PARQUE ESTADUAL DAS FURNAS DO BOM JESUS","-20.2244690109104","-47.435495703779","brazil","sao paulo","pedregulho","parque estadual das furnas do bom jesus",NA,"locality","brazil_sao paulo_pedregulho_parque estadual furnas bom jesus","brazil_sao paulo_pedregulho_pe furnas bom jesus",-20.197222,-47.419444,"locality"
"Brazil","São Paulo","Rio Claro","FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","-22.4066114757708","-47.5241070695831","brazil","sao paulo","rio claro","floresta estadual edmundo navarro de andrade",NA,"locality","brazil_sao paulo_rio claro","brazil_sao paulo_rio claro",-22.37317398,-47.57956155,"county"
"Brazil","São Paulo","São José do Barreiro","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CATADUPA","-22.6717980795808","-44.524974735659","brazil","sao paulo","sao jose do barreiro","reserva particular do patrimonio natural fazenda catadupa",NA,"locality","brazil_sao paulo_sao jose barreiro","brazil_sao paulo_sao jose barreiro",-22.74888367,-44.58687717,"county"
"Brazil","São Paulo","Lavrinhas","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRAVESSIA","-22.4611760050558","-44.9176489081327","brazil","sao paulo","lavrinhas","reserva particular do patrimonio natural travessia",NA,"locality","brazil_sao paulo_lavrinhas","brazil_sao paulo_lavrinhas",-22.52014474,-44.8887858,"county"
"Brazil","São Paulo","Bananal","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO","-22.8219759904912","-44.4192941880509","brazil","sao paulo","bananal","reserva particular do patrimonio natural rio vermelho",NA,"locality","brazil_sao paulo_bananal","brazil_sao paulo_bananal",-22.73353405,-44.33438939,"county"
