"loc","loc.correct","Freq","stateProvince","municipality","locality"
"brazil_sao paulo_avenida lucas siqueira franco","",1,"sao paulo","avenida lucas de siqueira franco","avenida lucas de siqueira franco"
"brazil_sao paulo_avenida lucas siqueira franco_avenida lucas siqueira franco","",1,"sao paulo","avenida lucas de siqueira franco","avenida lucas de siqueira franco"
"brazil_sao paulo_avenida michel zaine anexo centro","",1,"sao paulo","avenida michel zaine anexo centro","avenida michel zaine anexo centro"
"brazil_sao paulo_avenida michel zaine anexo centro_avenida michel zaine anexo centro","",1,"sao paulo","avenida michel zaine anexo centro","avenida michel zaine anexo centro"
"brazil_sao paulo_avenida pedro paulo descansopolis","",1,"sao paulo","avenida pedro paulo descansopolis","avenida pedro paulo descansopolis"
"brazil_sao paulo_avenida pedro paulo descansopolis_avenida pedro paulo descansopolis","",1,"sao paulo","avenida pedro paulo descansopolis","avenida pedro paulo descansopolis"
"brazil_sao paulo_avenida prefeito waldemar costa filho mogi cruzes","",1,"sao paulo","avenida prefeito waldemar costa filho mogi das cruzes","avenida prefeito waldemar costa filho mogi das cruzes"
"brazil_sao paulo_avenida prefeito waldemar costa filho mogi cruzes_avenida prefeito waldemar costa filho mogi cruzes","",1,"sao paulo","avenida prefeito waldemar costa filho mogi das cruzes","avenida prefeito waldemar costa filho mogi das cruzes"
"brazil_sao paulo_avenida tancredo neves","",1,"sao paulo","avenida tancredo neves","avenida tancredo neves"
"brazil_sao paulo_avenida tancredo neves_avenida tancredo neves","",1,"sao paulo","avenida tancredo neves","avenida tancredo neves"
"brazil_sao paulo_avenida tupiniquins","",1,"sao paulo","avenida tupiniquins","avenida tupiniquins"
"brazil_sao paulo_avenida tupiniquins_avenida tupiniquins","",1,"sao paulo","avenida tupiniquins","avenida tupiniquins"
"brazil_sao paulo_avenida vinte e quatro a","",1,"sao paulo","avenida vinte e quatro a","avenida vinte e quatro a"
"brazil_sao paulo_avenida vinte e quatro a_avenida vinte e quatro a","",1,"sao paulo","avenida vinte e quatro a","avenida vinte e quatro a"
"brazil_sao paulo_avenida yokino ogawa","",1,"sao paulo","avenida yokino ogawa","avenida yokino ogawa"
"brazil_sao paulo_avenida yokino ogawa_avenida yokino ogawa","",1,"sao paulo","avenida yokino ogawa","avenida yokino ogawa"
"brazil_sao paulo_bahia castelhanos","",1,"sao paulo","bahia de castelhanos","bahia de castelhanos"
"brazil_sao paulo_bahia castelhanos_bahia castelhanos","",1,"sao paulo","bahia de castelhanos","bahia de castelhanos"
"brazil_sao paulo_bahia flamingo","",1,"sao paulo","bahia de flamingo","praia saco do ribeira"
"brazil_sao paulo_bahia flamingo_praia saco ribeira","",1,"sao paulo","bahia de flamingo","praia saco do ribeira"
"brazil_sao paulo_baia santos","",1,"sao paulo","baia de santos","baia de santos"
"brazil_sao paulo_baia santos_baia santos","",1,"sao paulo","baia de santos","baia de santos"
"brazil_sao paulo_baia ubatumirim","",1,"sao paulo","baia de ubatumirim","baia de ubatumirim"
"brazil_sao paulo_baia ubatumirim_baia ubatumirim","",1,"sao paulo","baia de ubatumirim","baia de ubatumirim"
"brazil_sao paulo_bairro comercio","",1,"sao paulo","paraibuna","estrada para balsa da varginha"
"brazil_sao paulo_bairro ilha grande","",1,"sao paulo","iguape","proximo a reserva ecologica de chauas"
"brazil_sao paulo_bairro itapetininga","",1,"sao paulo","atibaia","estrada da grota funda"
"brazil_sao paulo_bairro jaragua","",1,"sao paulo","sao sebastiao","estrada de acesso as torres, densa populacao crescendo na beira da estrada em floresta ombrofila densa montana"
"brazil_sao paulo_bairro jardim melvi","",1,"sao paulo","praia grande","rodovia padre manuel da nobrega km 295, proximo da cota 20 do parque estadual serra mar"
"brazil_sao paulo_bairro morro grande_bairro morro grande","",1,"sao paulo","bairro morro grande","bairro morro grande"
"brazil_sao paulo_bairro nirvana","",1,"sao paulo","atibaia","proximo ao parque edmundo zanoni"
"brazil_sao paulo_bairro pegoreli","",1,"sao paulo","caraguatatuba","bem preservada"
"brazil_sao paulo_bairro peropava","",1,"sao paulo","iguape","beira da estrada do rio peropava"
"brazil_sao paulo_bairro santo antonio, estrada terra em frente ao clube campo","",1,"sao paulo","bairro santo antonio, estrada de terra em frente ao clube de campo",""
"brazil_sao paulo_bairro sorocabucu, ca. 8 km sp 250, km 63","",1,"sao paulo","bairro sorocabucu, ca. 8 km da sp-250, km 63",""
"brazil_sao paulo_bairro veraya","",1,"sao paulo","ibiuna","na beira da estrada para a cidade"
"brazil_sao paulo_balneario araca","",1,"sao paulo","balneario araca","balneario araca"
"brazil_sao paulo_balneario araca_balneario araca","",1,"sao paulo","balneario araca","balneario araca"
"brazil_sao paulo_bananal_e","",1,"sao paulo","bananal","e"
"brazil_sao paulo_banco sementes solo no horto florestal navarro andrade","",1,"sao paulo","rio claro","floresta estadual edmundo navarro de andrade"
"brazil_sao paulo_barra turvo_along the highway ""br 116""","",1,"sao paulo","barra do turvo","along the highway ""br-116"""
"brazil_sao paulo_barra turvo_estrada para bairro barreiros","",1,"sao paulo","barra do turvo","estrada para bairro dos barreiros"
"brazil_sao paulo_barra turvo_parque estadual jacupirnga","",1,"sao paulo","barra do turvo","parque estadual de jacupirnga"
"brazil_sao paulo_barra turvo_parque estadual rio turvo, rodovia regis bittencourt sentido parana ca","",1,"sao paulo","barra do turvo","parque estadual rio turvo, rodovia regis bittencourt sentido parana ca"
"brazil_sao paulo_barra turvo_parque estadusl jacupiranga","",1,"sao paulo","barra do turvo","parque estadusl de jacupiranga"
"brazil_sao paulo_barra una_estacao ecologica jureia itatins","",1,"sao paulo","barra do una","estacao ecologica jureia-itatins"
"brazil_sao paulo_barra una_na rodovia bertioga","",1,"sao paulo","barra de una","na rodovia bertioga"
"brazil_sao paulo_barra una_na rodovia bertioga sao sebastiao","",1,"sao paulo","barra de una","na rodovia bertioga-sao sebastiao"
"brazil_sao paulo_barragem serraria","",1,"sao paulo","barragem serraria","barragem serraria"
"brazil_sao paulo_barragem serraria_barragem serraria","",1,"sao paulo","barragem serraria","barragem serraria"
"brazil_sao paulo_base morro","",1,"sao paulo","campos do jordao","estado de sao paulo"
"brazil_sao paulo_bauru_bauru","",1,"sao paulo","bauru","bauru"
"brazil_sao paulo_bauzinho","",1,"sao paulo","sao bento do sapucai","estrada para o bauzinho"
"brazil_sao paulo_bei cantareira unweit stadt sao paulo","",1,"sao paulo","bei cantareira unweit des stadt sao paulo","bei cantareira unweit des stadt sao paulo"
"brazil_sao paulo_bei cantareira unweit stadt sao paulo_bei cantareira unweit stadt sao paulo","",1,"sao paulo","bei cantareira unweit des stadt sao paulo","bei cantareira unweit des stadt sao paulo"
"brazil_sao paulo_bei cantareirau unweit der stadt s","",1,"sao paulo","bei cantareirau unweit der stadt s","bei cantareirau unweit der stadt s"
"brazil_sao paulo_bei cantareirau unweit der stadt s_bei cantareirau unweit der stadt s","",1,"sao paulo","bei cantareirau unweit der stadt s","bei cantareirau unweit der stadt s"
"brazil_sao paulo_beige fine soil","",1,"sao paulo","sao jose dos campos","dirt roadside"
"brazil_sao paulo_beira estrada br 116","",1,"sao paulo","beira da estrada br-116","beira da estrada br-116"
"brazil_sao paulo_beira estrada br 116_beira estrada br 116","",1,"sao paulo","beira da estrada br-116","beira da estrada br-116"
"brazil_sao paulo_bernacci 2862 at two locations amaparo and monte alegre sul","",1,"sao paulo","amparo","milward-de azevedo's monograph states l"
"brazil_sao paulo_bertioga_5km n along the road rio santos","",1,"sao paulo","bertioga","5km n along the road rio-santos"
"brazil_sao paulo_bertioga_condominio morada praia","",1,"sao paulo","bertioga","condominio morada da praia"
"brazil_sao paulo_bertioga_estacao biologica boraceia","",1,"sao paulo","bertioga","estacao biologica de boraceia"
"brazil_sao paulo_bertioga_guaratuba entrada km 198 a leste rod","",1,"sao paulo","bertioga","guaratuba entrada do km 198 a leste da rod"
"brazil_sao paulo_bertioga_guaratuba entrada no km 198 a leste rod","",1,"sao paulo","bertioga","guaratuba entrada no km 198 a leste da rod"
"brazil_sao paulo_bertioga_ilha em frente a prainha","",1,"sao paulo","bertioga","ilha em frente a prainha"
"brazil_sao paulo_bertioga_mata encosta na beira trilha","",1,"sao paulo","bertioga","mata de encosta na beira da trilha"
"brazil_sao paulo_bertioga_moji cruzes","",1,"sao paulo","bertioga","moji das cruzes"
"brazil_sao paulo_bertioga_parque estadual serra mar","",1,"sao paulo","bertioga","parque estadual da serra do mar"
"brazil_sao paulo_bertioga_white sand forest","",1,"sao paulo","bertioga","white sand forest"
"brazil_sao paulo_between sao vicente and itaipu","",1,"sao paulo","between sao vicente and itaipu","between sao vicente and itaipu"
"brazil_sao paulo_between sao vicente and itaipu_between sao vicente and itaipu","",1,"sao paulo","between sao vicente and itaipu","between sao vicente and itaipu"
"brazil_sao paulo_biririba mirim","",1,"sao paulo","biririba mirim","estacao biologica de boraceia"
"brazil_sao paulo_biririba mirim_estacao biologica boraceia","",1,"sao paulo","biririba mirim","estacao biologica de boraceia"
"brazil_sao paulo_biritiba mirim marsh south of tiete river","",1,"sao paulo","biritiba-mirim--marsh south of tiete river","biritiba-mirim--marsh south of tiete river"
"brazil_sao paulo_biritiba mirim marsh south of tiete river_biritiba mirim marsh south of tiete river","",1,"sao paulo","biritiba-mirim--marsh south of tiete river","biritiba-mirim--marsh south of tiete river"
"brazil_sao paulo_biritiba mirim_entorno barragem biritiba","",1,"sao paulo","biritiba mirim","entorno da barragem de biritiba"
"brazil_sao paulo_biritiba mirim_estacao biologica","",1,"sao paulo","biritiba-mirim","estacao biologica"
"brazil_sao paulo_biritiba mirim_trilha pedra garrafao","",1,"sao paulo","biritiba-mirim","trilha da pedra do garrafao"
"brazil_sao paulo_biritiba mirim, estacao biologica boraceia","",1,"sao paulo","biritiba-mirim, estacao biologica de boraceia",""
"brazil_sao paulo_biritiba mirirm","",1,"sao paulo","salesopolis","estacao biologicaboraceia"
"brazil_sao paulo_biritiba mirm","",1,"sao paulo","biritiba mirm","estacao biologica coraceia"
"brazil_sao paulo_biritiba mirm_estacao biologica coraceia","",1,"sao paulo","biritiba mirm","estacao biologica coraceia"
"brazil_sao paulo_bom jesus perdoes_em propriedade particular","",1,"sao paulo","bom jesus dos perdoes","em propriedade particular"
"brazil_sao paulo_boracea [= boraceia?]","",1,"sao paulo","boracea [= boraceia?]","boracea [= boraceia?]"
"brazil_sao paulo_boracea [= boraceia?]_boracea [= boraceia?]","",1,"sao paulo","boracea [= boraceia?]","boracea [= boraceia?]"
"brazil_sao paulo_boraceia_estacao ecologica boraceia","",1,"sao paulo","boraceia","estacao ecologica de boraceia"
"brazil_sao paulo_bosque barao geraldo","",1,"sao paulo","bosque de barao geraldo","bosque de barao geraldo"
"brazil_sao paulo_bosque barao geraldo_bosque barao geraldo","",1,"sao paulo","bosque de barao geraldo","bosque de barao geraldo"
"brazil_sao paulo_bosque nas proximidades auditorio","",1,"sao paulo","campos do jordao","mata do auditorio"
"brazil_sao paulo_bosque pires","",1,"sao paulo","bosque dos pires","bosque dos pires"
"brazil_sao paulo_bosque pires_bosque pires","",1,"sao paulo","bosque dos pires","bosque dos pires"
"brazil_sao paulo_botucatu_18 km n of botucatu","",1,"sao paulo","botucatu","18 km n of botucatu"
"brazil_sao paulo_botucatu_2 km sw faculdade ciencias medicas e biologicas botucatu, morro coberto com vegetacao aberta","",1,"sao paulo","botucatu","2 km sw da faculdade de ciencias medicas e biologicas de botucatu, morro coberto com vegetacao aberta"
"brazil_sao paulo_botucatu_a margem rodovia municipal","",1,"sao paulo","botucatu","a margem da rodovia municipal"
"brazil_sao paulo_botucatu_a margem rodovia municipal, estrada roberto, fazenda gold farm","",1,"sao paulo","botucatu","a margem da rodovia municipal, estrada do roberto, fazenda gold farm"
"brazil_sao paulo_botucatu_botucatu rubiao junior","",1,"sao paulo","botucatu","botucatu rubiao junior"
"brazil_sao paulo_botucatu_em cima serra botucatu","",1,"sao paulo","botucatu","em cima da serra de botucatu"
"brazil_sao paulo_botucatu_estrada anterior a entrada fazenda demetria","",1,"sao paulo","botucatu","estrada anterior a entrada da fazenda demetria"
"brazil_sao paulo_botucatu_estrada fazenda indiana ± 5km cidade","",1,"sao paulo","botucatu","estrada da fazenda indiana ± 5km da cidade"
"brazil_sao paulo_botucatu_estrada municipal represa rio pardo, proximo ao aeroporto e a floresta estadual botucatu, lagos proximo a estrada","",1,"sao paulo","botucatu","estrada municipal represa do rio pardo, proximo ao aeroporto e a floresta estadual de botucatu, lagos proximo a estrada"
"brazil_sao paulo_botucatu_estrada para rubiao","",1,"sao paulo","botucatu","estrada para rubiao"
"brazil_sao paulo_botucatu_fazenda pavuna","",1,"sao paulo","botucatu","fazenda pavuna"
"brazil_sao paulo_botucatu_fazenda pavunda","",1,"sao paulo","botucatu","fazenda pavunda"
"brazil_sao paulo_botucatu_fazenda prado","",1,"sao paulo","botucatu","fazenda prado"
"brazil_sao paulo_botucatu_floresta estadual botucatu","",1,"sao paulo","botucatu","floresta estadual de botucatu"
"brazil_sao paulo_botucatu_mata bica, fazenda edgardia, unesp campus botucatu","",1,"sao paulo","botucatu","mata de bica, fazenda edgardia, unesp campus de botucatu"
"brazil_sao paulo_botucatu_rkio pardo","",1,"sao paulo","botucatu","rkio pardo"
"brazil_sao paulo_botucatu_rubiao junior cerrado a 1km refugio padres","",1,"sao paulo","botucatu","rubiao junior-cerrado a 1km do refugio do padres"
"brazil_sao paulo_botucatu_sao paulo","",1,"sao paulo","botucatu","sao paulo"
"brazil_sao paulo_br 101 km 11","",1,"sao paulo","br-101-km 11",""
"brazil_sao paulo_br 116, entrada para bairro bareiros","",1,"sao paulo","br 116, entrada para bairro dos bareiros",""
"brazil_sao paulo_br 381","",1,"sao paulo","atibaia","rodovia fernao dias"
"brazil_sao paulo_br_br","",1,"sao paulo","br","br"
"brazil_sao paulo_br98 descida pra bertioga","",1,"sao paulo","br98 - descida pra bertioga","beira de estrada"
"brazil_sao paulo_br98 descida pra bertioga_beira estrada","",1,"sao paulo","br98 - descida pra bertioga","beira de estrada"
"brazil_sao paulo_bragana paulista","",1,"sao paulo","bragana paulista",""
"brazil_sao paulo_braganca paulista_6 km w along road from rr viaduct at city of braganca paulista","",1,"sao paulo","braganca paulista","6 km w along road from rr viaduct at city of braganca paulista"
"brazil_sao paulo_braganca paulista_6 km west along road from railroad viaduct over road at braganca paulista","",1,"sao paulo","braganca paulista","6 km west along road from railroad viaduct over road at braganca paulista"
"brazil_sao paulo_braganca paulista_em estrada terra proxima a rodovia braganca paulista itatiba, fazenda santa cristina","",1,"sao paulo","braganca paulista","em estrada de terra proxima a rodovia braganca paulista-itatiba, fazenda santa cristina"
"brazil_sao paulo_brasil_fazenda folha larga","",1,"sao paulo","brasil","fazenda folha larga"
"brazil_sao paulo_brasil_fazenda santa barbara","",1,"sao paulo","brasil","fazenda santa barbara"
"brazil_sao paulo_brasil_km 31 rodovia sp 226, fazenda folha larga","",1,"sao paulo","brasil","km 31 da rodovia sp-226, fazenda folha larga"
"brazil_sao paulo_brasil_margem estrada sp 50","",1,"sao paulo","brasil","margem da estrada sp 50"
"brazil_sao paulo_brasil_mata atlantica primara","",1,"sao paulo","brasil","mata atlantica primara"
"brazil_sao paulo_brasil_mata fazenda capoeira grande","",1,"sao paulo","brasil","mata da fazenda capoeira grande"
"brazil_sao paulo_brasil_mata fazenda espirito santo","",1,"sao paulo","brasil","mata da fazenda espirito santo"
"brazil_sao paulo_brasil_mata fazenda malabar","",1,"sao paulo","brasil","mata da fazenda malabar"
"brazil_sao paulo_brasil_mata fazenda santa helena","",1,"sao paulo","brasil","mata da fazenda santa helena"
"brazil_sao paulo_brasil_parque estado","",1,"sao paulo","brasil","parque do estado"
"brazil_sao paulo_brasil_parque estadual jacupiranga","",1,"sao paulo","brasil","parque estadual de jacupiranga"
"brazil_sao paulo_brasil_proximo a margem rio fazenda","",1,"sao paulo","brasil","proximo a margem do rio da fazenda"
"brazil_sao paulo_brasilien","",1,"sao paulo","brasilien","brasilien"
"brazil_sao paulo_brasilien_brasilien","",1,"sao paulo","brasilien","brasilien"
"brazil_sao paulo_brazil state of sao paulo ubatuba 15 km ne of ubatuba near praia lazaro","",1,"sao paulo","brazil state of sao paulo ubatuba 15 km ne of ubatuba near praia do lazaro","character(0)"
"brazil_sao paulo_brazil state of sao paulo ubatuba 15 km ne of ubatuba near praia lazaro_character(0)","",1,"sao paulo","brazil state of sao paulo ubatuba 15 km ne of ubatuba near praia do lazaro","character(0)"
"brazil_sao paulo_brazil state of sao pauloubatuba 15 km ne of ubatuba near praia lazaro","",1,"sao paulo","brazil state of sao pauloubatuba 15 km ne of ubatuba near praia do lazaro","character(0)"
"brazil_sao paulo_brazil state of sao pauloubatuba 15 km ne of ubatuba near praia lazaro_character(0)","",1,"sao paulo","brazil state of sao pauloubatuba 15 km ne of ubatuba near praia do lazaro","character(0)"
"brazil_sao paulo_brazil_intervales state park","",1,"sao paulo","brazil","intervales state park"
"brazil_sao paulo_brotas_along the road from itirapina to brotas","",1,"sao paulo","brotas","along the road from itirapina to brotas"
"brazil_sao paulo_brotas_bairro campo alegre","",1,"sao paulo","brotas","bairro campo alegre"
"brazil_sao paulo_brotas_cerradao","",1,"sao paulo","brotas","cerradao"
"brazil_sao paulo_brotas_east of intersection of brotas itirapina road with turnoff road to campo alegre","",1,"sao paulo","brotas","east of intersection of brotas-itirapina road with turnoff road to campo alegre"
"brazil_sao paulo_brotas_east of intersection of brotas=itirapina road with turnoff road to campo alegre","",1,"sao paulo","brotas","east of intersection of brotas=itirapina road with turnoff road to campo alegre"
"brazil_sao paulo_brotas_near intersection of brotas itirapina road with turnoff road to campo alegre","",1,"sao paulo","brotas","near intersection of brotas-itirapina road with turnoff road to campo alegre"
"brazil_sao paulo_brotas_noroeste intersecao estrada brotas, na estrada para campo alegre","",1,"sao paulo","brotas","noroeste da intersecao da estrada brotas, na estrada para campo alegre"
"brazil_sao paulo_brotas_northwest of the intersection of the brotas itirapina road with the road to campo alegre a few meters from intersection","",1,"sao paulo","brotas","northwest of the intersection of the brotas-itirapina road with the road to campo alegre a few meters from intersection"
"brazil_sao paulo_brotas_northwest side of intersection of the br","",1,"sao paulo","brotas","northwest side of intersection of the br"
"brazil_sao paulo_brotas_represa","",1,"sao paulo","brotas","represa"
"brazil_sao paulo_brotas_teresopolis","",1,"sao paulo","brotas","teresopolis"
"brazil_sao paulo_buquira_buquira","",1,"sao paulo","buquira","buquira"
"brazil_sao paulo_ca 1","",1,"sao paulo","brotas","itirapina road with the road to campo alegre"
"brazil_sao paulo_ca 1 m up on tree trunk in humid secondary forest","",1,"sao paulo","ca 1 m up on tree trunk in humid secondary forest","ca 1 m up on tree trunk in humid secondary forest"
"brazil_sao paulo_ca 1 m up on tree trunk in humid secondary forest_ca 1 m up on tree trunk in humid secondary forest","",1,"sao paulo","ca 1 m up on tree trunk in humid secondary forest","ca 1 m up on tree trunk in humid secondary forest"
"brazil_sao paulo_ca 10 km ne of botucatu","",1,"sao paulo","botucatu","fazenda lageado"
"brazil_sao paulo_ca 2 km w of itirapina town","",1,"sao paulo","ca 2 km w of itirapina town","ca 2 km w of itirapina town"
"brazil_sao paulo_ca 2 km w of itirapina town_ca 2 km w of itirapina town","",1,"sao paulo","ca 2 km w of itirapina town","ca 2 km w of itirapina town"
"brazil_sao paulo_ca 2km estrada que sai a esquerda","",1,"sao paulo","ibiuna","ca de 2km da estrada que sai a esquerda, da rodovia sp 250 km 63"
"brazil_sao paulo_cabeuva","",1,"sao paulo","cabeuva","cabeuva"
"brazil_sao paulo_cabeuva_cabeuva","",1,"sao paulo","cabeuva","cabeuva"
"brazil_sao paulo_cabreuva im tal tiete","",1,"sao paulo","cabreuva im tal des tiete","cabreuva im tal des tiete"
"brazil_sao paulo_cabreuva im tal tiete_cabreuva im tal tiete","",1,"sao paulo","cabreuva im tal des tiete","cabreuva im tal des tiete"
"brazil_sao paulo_cabreuva_alto japy","",1,"sao paulo","cabreuva","alto do japy"
"brazil_sao paulo_cabreuva_bifurcacao cabreuva pirapora","",1,"sao paulo","cabreuva","bifurcacao cabreuva-pirapora"
"brazil_sao paulo_cabreuva_bloqueado","",1,"sao paulo","cabreuva","bloqueado"
"brazil_sao paulo_cabreuva_brasil","",1,"sao paulo","cabreuva","brasil"
"brazil_sao paulo_cabreuva_camping cascata","",1,"sao paulo","cabreuva","camping cascata"
"brazil_sao paulo_cabreuva_campo sujo pedregoso","",1,"sao paulo","cabreuva","campo sujo pedregoso"
"brazil_sao paulo_cabreuva_cultivado no jardim botanico procedente cabreuva","",1,"sao paulo","cabreuva","cultivado no jardim botanico procedente de cabreuva"
"brazil_sao paulo_cabreuva_cultivado no jardim botanico sao paulo","",1,"sao paulo","cabreuva","cultivado no jardim botanico de sao paulo"
"brazil_sao paulo_cabreuva_d","",1,"sao paulo","cabreuva","d"
"brazil_sao paulo_cabreuva_entre itu e a rod","",1,"sao paulo","cabreuva","entre itu e a rod"
"brazil_sao paulo_cabreuva_entre pirapora e cabreuva","",1,"sao paulo","cabreuva","entre pirapora e cabreuva"
"brazil_sao paulo_cabreuva_estrada para pirapora","",1,"sao paulo","cabreuva","estrada para pirapora"
"brazil_sao paulo_cabreuva_estrada para pirapora bom jesus","",1,"sao paulo","cabreuva","estrada para pirapora do bom jesus"
"brazil_sao paulo_cabreuva_estrada para pirapora bom jesus, entre a rodovia e o rio tiete","",1,"sao paulo","cabreuva","estrada para pirapora do bom jesus, entre a rodovia e o rio tiete"
"brazil_sao paulo_cabreuva_estrada parqque""apa itu rio tiete""","",1,"sao paulo","cabreuva","estrada parqque""apa-itu-rio tiete"""
"brazil_sao paulo_cabreuva_estrada pirapora a cabreuva","",1,"sao paulo","cabreuva","estrada de pirapora a cabreuva"
"brazil_sao paulo_cabreuva_estrada rodagem","",1,"sao paulo","cabreuva","estrada de rodagem"
"brazil_sao paulo_cabreuva_estrada secundaria cabreuva","",1,"sao paulo","cabreuva","estrada secundaria cabreuva"
"brazil_sao paulo_cabreuva_estrada serra japi","",1,"sao paulo","cabreuva","estrada da serra do japi"
"brazil_sao paulo_cabreuva_fazenda 'guilherme'","",1,"sao paulo","cabreuva","fazenda do 'guilherme'"
"brazil_sao paulo_cabreuva_fazenda 'guilherme', estrada para a torre","",1,"sao paulo","cabreuva","fazenda do 'guilherme', estrada para a torre"
"brazil_sao paulo_cabreuva_fazenda ""guilherme""","",1,"sao paulo","cabreuva","fazenda do ""guilherme"""
"brazil_sao paulo_cabreuva_fazenda ""guilherme"", estrada para a torre","",1,"sao paulo","cabreuva","fazenda do ""guilherme"", estrada para a torre"
"brazil_sao paulo_cabreuva_fazenda morro grande","",1,"sao paulo","cabreuva","fazenda morro grande"
"brazil_sao paulo_cabreuva_mata","",1,"sao paulo","cabreuva","mata"
"brazil_sao paulo_cabreuva_mata cabreuva","",1,"sao paulo","cabreuva","mata da cabreuva"
"brazil_sao paulo_cabreuva_mata casa branca, beira estrada","",1,"sao paulo","cabreuva","mata da casa branca, beira da estrada"
"brazil_sao paulo_cabreuva_nativa a beira estrada","",1,"sao paulo","cabreuva","nativa a beira da estrada"
"brazil_sao paulo_cabreuva_proximidades cidade","",1,"sao paulo","cabreuva","proximidades da cidade"
"brazil_sao paulo_cabreuva_prx","",1,"sao paulo","cabreuva","prx"
"brazil_sao paulo_cabreuva_r isidoro francischini 585","",1,"sao paulo","cabreuva","r isidoro francischini 585"
"brazil_sao paulo_cabreuva_rodovia cabreuva","",1,"sao paulo","cabreuva","rodovia cabreuva"
"brazil_sao paulo_cabreuva_rodovia itu","",1,"sao paulo","cabreuva","rodovia itu"
"brazil_sao paulo_cabreuva_rodovia macrechal rondon","",1,"sao paulo","cabreuva","rodovia macrechal rondon"
"brazil_sao paulo_cabreuva_rodovia marechal rondon a 5 km saltoterreno pedregoso","",1,"sao paulo","cabreuva","rodovia marechal rondon a 5 km de saltoterreno pedregoso"
"brazil_sao paulo_cabreuva_rodovia marechal rondon a 70 km sao paulo","",1,"sao paulo","cabreuva","rodovia marechal rondon a 70 km de sao paulo"
"brazil_sao paulo_cabreuva_rodovia marechal rondon a 70 km sp","",1,"sao paulo","cabreuva","rodovia marechal rondon a 70 km de sp"
"brazil_sao paulo_cabreuva_rodovia marechal rondor","",1,"sao paulo","cabreuva","rodovia marechal rondor"
"brazil_sao paulo_cabreuva_rodovia romeiros, a 700 m rodovia","",1,"sao paulo","cabreuva","rodovia dos romeiros, a 700 m da rodovia"
"brazil_sao paulo_cabreuva_rodvia marechal rondon","",1,"sao paulo","cabreuva","rodvia marechal rondon"
"brazil_sao paulo_cabreuva_sem informacao","",1,"sao paulo","cabreuva","sem informacao"
"brazil_sao paulo_cabreuva_serra japey","",1,"sao paulo","cabreuva","serra do japey"
"brazil_sao paulo_cabreuva_serra jary","",1,"sao paulo","cabreuva","serra do jary"
"brazil_sao paulo_cach","",1,"sao paulo","cach","cach"
"brazil_sao paulo_cach_cach","",1,"sao paulo","cach","cach"
"brazil_sao paulo_cachambu","",1,"sao paulo","cachambu","cachambu"
"brazil_sao paulo_cachambu_cachambu","",1,"sao paulo","cachambu","cachambu"
"brazil_sao paulo_cachoeira pedra furada","",1,"sao paulo","cachoeira da pedra furada","cachoeira da pedra furada"
"brazil_sao paulo_cachoeira pedra furada_cachoeira pedra furada","",1,"sao paulo","cachoeira da pedra furada","cachoeira da pedra furada"
"brazil_sao paulo_cachoeira peroba","",1,"sao paulo","cachoeira da peroba","cachoeira da peroba"
"brazil_sao paulo_cachoeira peroba_cachoeira peroba","",1,"sao paulo","cachoeira da peroba","cachoeira da peroba"
"brazil_sao paulo_cachoeirinha rio bopeva","",1,"sao paulo","cananeia","na reserva biologica da ilha do cardoso"
"brazil_sao paulo_caieiras_caieiras","",1,"sao paulo","caieiras","caieiras"
"brazil_sao paulo_cajamar_cajamar","",1,"sao paulo","cajamar","cajamar"
"brazil_sao paulo_cajamar_casa no bairro polvilho","",1,"sao paulo","cajamar","casa no bairro polvilho"
"brazil_sao paulo_cajamar_eucalip2","",1,"sao paulo","cajamar","eucalip2"
"brazil_sao paulo_cajamar_eucalip3","",1,"sao paulo","cajamar","eucalip3"
"brazil_sao paulo_cajamar_eucalip4","",1,"sao paulo","cajamar","eucalip4"
"brazil_sao paulo_cajamar_junto cajamar","",1,"sao paulo","cajamar","junto de cajamar"
"brazil_sao paulo_cajamar_pirapora","",1,"sao paulo","cajamar","pirapora"
"brazil_sao paulo_cajamar_planta coletada em borda talhoes eucaliptus","",1,"sao paulo","cajamar","planta coletada em borda de talhoes de eucaliptus"
"brazil_sao paulo_cajamar_sub bosque em baranco","",1,"sao paulo","cajamar","sub bosque em baranco"
"brazil_sao paulo_cajamar_subosque","",1,"sao paulo","cajamar","subosque"
"brazil_sao paulo_cajamar_subosque eucaliptal","",1,"sao paulo","cajamar","subosque de eucaliptal"
"brazil_sao paulo_cajamar_subosque mata ciliar","",1,"sao paulo","cajamar","subosque de mata ciliar"
"brazil_sao paulo_cajati_cajati","",1,"sao paulo","cajati","cajati"
"brazil_sao paulo_cajati_no alto colina","",1,"sao paulo","cajati","no alto da colina"
"brazil_sao paulo_calcada lorena","",1,"sao paulo","calcada do lorena","calcada do lorena"
"brazil_sao paulo_calcada lorena_calcada lorena","",1,"sao paulo","calcada do lorena","calcada do lorena"
"brazil_sao paulo_camarca in rio claro_or the city in the reserva horto florestal estado, state forest preserve","",1,"sao paulo","camarca in rio claro","or the city in the reserva horto florestal do estado, state forest preserve"
"brazil_sao paulo_cambriu cananeia","",1,"sao paulo","cambriu cananeia","cambriu cananeia"
"brazil_sao paulo_cambriu cananeia_cambriu cananeia","",1,"sao paulo","cambriu cananeia","cambriu cananeia"
"brazil_sao paulo_caminho","",1,"sao paulo","monte alegre do sul","reserva"
