"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LAGO DOS BURITIS","Brazil","Goiás","GOIATUBA (GO)","Uso Sustentável","3.584","cnuc_2025_08.csv","ARIE","ARIE_LAGO_DOS_BURITIS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LAGOA AZUL","Brazil","Alagoas","MARAGOGI (AL)","Uso Sustentável","4.66","cnuc_2025_08.csv","ARIE","ARIE_LAGOA_AZUL"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LAGOA DO ARAÇÁ","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.29","cnuc_2025_08.csv","ARIE","ARIE_LAGOA_DO_ARACA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LAGOA DO PORTINHO","Brazil","Piauí","LUÍS CORREIA (PI) - PARNAÍBA (PI)","Uso Sustentável","4.801","cnuc_2025_08.csv","ARIE","ARIE_LAGOA_DO_PORTINHO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO","Brazil","São Paulo","AGUDOS (SP) - BAURU (SP) - PEDERNEIRAS (SP)","Uso Sustentável","3.889","cnuc_2025_08.csv","ARIE","ARIE_LEOPOLDO_MAGNO_COUTINHO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LITORAL NORTE","Brazil","Rio Grande do Sul","TRAMANDAÍ (RS)","Uso Sustentável","5.005","cnuc_2025_08.csv","ARIE","ARIE_LITORAL_NORTE"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MANGUE DE SANTA TERESA","Brazil","Pernambuco","OLINDA (PE)","Uso Sustentável","4.57","cnuc_2025_08.csv","ARIE","ARIE_MANGUE_DE_SANTA_TERESA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MANGUEZAIS","Brazil","Sergipe","BARRA DOS COQUEIROS (SE)","Uso Sustentável","4.948","cnuc_2025_08.csv","ARIE","ARIE_MANGUEZAIS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MANGUEZAIS DA FOZ DO RIO MAMANGUAPE","Brazil","Paraíba","MARCAÇÃO (PB) - RIO TINTO (PB)","Uso Sustentável","39","cnuc_2025_08.csv","ARIE","ARIE_MANGUEZAIS_DA_FOZ_DO_RIO_MAMANGUAPE"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MARITACAS","Brazil","Rio de Janeiro","JAPERI (RJ)","Uso Sustentável","3.467","cnuc_2025_08.csv","ARIE","ARIE_MARITACAS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DA VÁRZEA","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.281","cnuc_2025_08.csv","ARIE","ARIE_MATA_DA_VARZEA"
